sku,url
4514260,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_siccuof0611utcuek47mda280o/4514260_21012_001_TE_HD_18_20_RAL3002_Pic.jpg
4514265,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_8pcoiemtfp4oj9fg5s3j4p0u7g/4514265_21023_001_TP_HD_18_26_Li_BL_Solo_Pic_RGB.png
4514270,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_useml4p7cp4bj180mpkr6prb48/4514270_21023_001_TP_HD_18_26_D_Li_BL_Solo_Pic_RGB.png
4513960,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_i31jkkhr6t4k77pvppeorgdv2f/4513960_21023_001_TE_ID_18_Li_Solo_Pic_RGB.png
4258760,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_h3uben9ci5269e7jjvjr854v2m/4258760_11018_001_TE_MX_18_Li_Solo_RAL3002_Pic.jpg
4258770,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_iovu881ni96mb7qr7ptk8efd7v/4258770_21023_001_TP_MX_18_2_Li_BL_Solo_Pic.jpg
4431110,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_rqlee89tul1vr73bqs41b4vv3d/4431110_21054_001.png
4431130,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_ds6a6qkaud2e50i3o50a2p344o/4431130_21034_001.png
4431140,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_pin4clj8np125d7rhjmlb2020q/4431140_21064_001_AXXIO_18_125_Pic_RGB.png
4431144,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_pit48usr5558lbamesvb7sdp72/4431144_21064_001.png
4431150,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_mqee7es1c95pl647nhkel0a46d/4431150_21043_001_AXXIO_18_115_Q_Pic.jpg
4431151,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_hn300ol8a53356k3n4j8ar5n2a/4431151_21054_001_AXXIO_18_125_Q_Pic_RGB.png
4431154,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_jqvb0aaujt33tbhao68cu9f86v/4431154_21024_001_AXXIO_18_115_Pic_RGB.png
4431155,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_b97gv6i83t76n3ub67ue6bam7h/4431155_21024_001.png
4431160,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_48kon65rmp2a195vlpis70ri0u/4431160_21024_001.png
4431165,https://d2c5rvsfjg2eub.cloudfront.net/asset/208244749100/image_6vspcds5gp5p334dacjj55fe3k/4431165_21011_001_TE_AG_18_115_Q_Li_Solo_Pic_RGB.png
